Marca temporal,Rol dentro de la actividad agrícola,Rango de edad,Años de experiencia en la actividad agrícola,¿Cómo lleva actualmente el control de sus cultivos y cosechas?,"¿Cómo controla su inventario de insumos (semillas, fertilizantes, herramientas)?","Del 1 al 5, ¿qué tan organizado considera su proceso actual de registro?",¿Cuáles son las principales dificultades al momento de registrar o consultar información de sus cultivos?,¿Qué información necesita registrar con mayor frecuencia?,¿Necesita llevar control de gastos e ingresos por cultivo?
2026/07/27 10:41:04 p.m. GMT-5,Otro,31-45,Más de 20 años,otro,"“El inventario de insumos se controla mediante un registro periódico de las existencias de semillas, fertilizantes y herramientas. Se lleva un control de las entradas y salidas de cada insumo, verificando las cantidades disponibles para evitar faltantes y planificar las compras o reposiciones necesarias.”",5,"Las principales dificultades al registrar o consultar información de los cultivos son la falta de tiempo para actualizar los registros, la pérdida o desorganización de datos en cuadernos físicos, errores al anotar información y la dificultad para acceder rápidamente al historial de siembras, fertilizaciones, riegos y cosechas cuando se necesita tomar decisiones",plagas o enfermedades,Si
2026/07/27 10:42:49 p.m. GMT-5,Agricultor,31-45,1 - 2 años,cuaderno físico,Semilla fertilizante ,5,No sé que poner al cultivo ,fechas de siembra,Si
2026/07/27 11:53:27 p.m. GMT-5,Productor,18-30,3 - 5 años,Excel,Haciendo un listado de los productos ,4,Los descensos de mercadería ,uso de fertilizantes / pesticidas,Si
2026/07/27 11:58:23 p.m. GMT-5,Agricultor,18-30,3 - 5 años,Excel,"Identificar los recursos ,llevar  un registro físico o digital y anotar cada salido y entrada",3,"La fata de conectividad con el campo  ,los datos  incompleto  o diversos ",fechas de siembra,Si
2026/07/28 7:50:45 a.m. GMT-5,Agricultor,18-30,1 - 2 años,no lleva registro,Semillas ,5,Las hormigas ,fechas de cosecha,Si
2026/07/28 10:02:18 a.m. GMT-5,Otro,18-30,1 - 2 años,otro,En medidas ,4,Que no este bien informada ,fechas de siembra,Si
2026/07/28 10:06:23 a.m. GMT-5,Otro,18-30,3 - 5 años,cuaderno físico,Por hectárea ,4,La falta de tiempo ,uso de fertilizantes / pesticidas,Si
2026/07/28 10:07:50 a.m. GMT-5,Productor,31-45,3 - 5 años,no lleva registro,Solo de memoria ,2,No tener una herramienta como dispositivo o plataforma fácil para llevar los registros ,plagas o enfermedades,Si
2026/07/28 10:07:55 a.m. GMT-5,Productor,46-60,Más de 20 años,no lleva registro,Mental mente,2,No tener una heramienta electrinica para llevar los registros fasil  memtee ,uso de fertilizantes / pesticidas,Si
2026/07/28 12:24:35 p.m. GMT-5,Administrador de finca,31-45,Más de 20 años,cuaderno físico,Mentalmente llevando las ideas ,5,Principal mente organizar el producto que se aplica ,fechas de cosecha,Si
2026/07/28 10:55:38 p.m. GMT-5,Agricultor,18-30,3 - 5 años,cuaderno físico,Semillas,3,Ehh,fechas de siembra,Si
2026/07/28 10:59:14 p.m. GMT-5,Agricultor,18-30,3 - 5 años,cuaderno físico,Semillas,4,Nose,fechas de siembra,Si
2026/07/28 11:01:03 p.m. GMT-5,Agricultor,18-30,3 - 5 años,Excel,Por cuaderno ,3,Si ,fechas de cosecha,Si
2026/07/28 11:01:04 p.m. GMT-5,Trabajador de campo,18-30,1 - 2 años,cuaderno físico,Herramientas,3,Difícil ya q no ay un medio q me ayudé con la Información de la finca,ventas,Si
2026/07/28 11:10:05 p.m. GMT-5,Administrador de finca,31-45,10 - 20 años,app o sistema,"Sistema, y lo tengo lo mejor prdennado que pueda",4,A vecespodemos omitir informacion,uso de fertilizantes / pesticidas,Si
2026/07/28 11:12:36 p.m. GMT-5,Otro,18-30,3 - 5 años,cuaderno físico,Semillas ,4,Cultivar ,plagas o enfermedades,Si
2026/07/29 6:59:23 a.m. GMT-5,Agricultor,18-30,3 - 5 años,no lleva registro,"Controlamos el inventario mediante un registro de los insumos que entran y salen, verificando periódicamente las cantidades disponibles de semillas, fertilizantes y herramientas para evitar pérdidas o faltantes",2,"Las principales dificultades son la falta de registros actualizados, la pérdida de información y el tiempo que toma organizar y consultar los datos de cada cultivo",plagas o enfermedades,Si
2026/07/29 9:51:19 a.m. GMT-5,Trabajador de campo,18-30,1 - 2 años,cuaderno físico,"se controla mediante un registro de entradas y salidas de semillas, fertilizantes y herramientas. Se realizan revisiones periódicas para verificar las existencias, identificar los materiales que necesitan reposición y mantener los insumos organizados y en buen estado.",4,Las principales dificultades son llevar un registro ordenado y actualizado de los cultivos,uso de fertilizantes / pesticidas,Si
2026/07/29 3:50:32 p.m. GMT-5,Trabajador de campo,18-30,3 - 5 años,cuaderno físico,"Semillas, fertilizantes ",5,Ninguna ,clima,Si
2026/07/29 3:53:38 p.m. GMT-5,Trabajador de campo,46-60,3 - 5 años,cuaderno físico,Todo en físico anotaciones en carpeta ,5,Cuando todo está en desorden ,uso de fertilizantes / pesticidas,Si
